,size_map,mode,seed,ROC,PRC,F1,ACC,MCC
37,medium,CTLA4,42.0,0.5027465508431272,0.30780952970311204,0.34977578475336324,0.5619335347432024,0.022514093114448405
38,medium,FFT,24.0,0.675779253960143,0.4792780417484387,0.48979591836734687,0.622356495468278,0.20848394109588814
39,medium,FFT,42.0,0.675779253960143,0.4792780417484387,0.48979591836734687,0.622356495468278,0.20848394109588814
40,medium,FFT,64.0,0.7000085164367229,0.5382339189922416,0.5,0.6918429003021148,0.27735136199650146
41,medium,GEP,42.0,0.7053312893885197,0.5226322804195143,0.5351170568561873,0.5800604229607251,0.25241069821756484
42,medium,GeneBio,42.0,0.6466743314597172,0.4597646046847077,0.50199203187251,0.622356495468278,0.22240420878618292
43,medium,ICA,42.0,0.6478027593254982,0.4744795582340361,0.4939271255060728,0.622356495468278,0.2131059972650082
44,medium,IFNG,42.0,0.5456906830182251,0.3511895754087835,0.41134751773049644,0.4984894259818731,0.03010580965451225
45,medium,IMPRES,42.0,0.630791176971555,0.4310820239676292,0.44354838709677413,0.5830815709969789,0.12993353184682174
46,medium,IS,42.0,0.6589592914324645,0.47731901999420534,0.5328185328185329,0.6344410876132931,0.26741480918822313
47,medium,LFT,24.0,0.8082950093680804,0.6442785359811185,0.6359447004608295,0.7613293051359517,0.4604020594085465
48,medium,LFT,42.0,0.7626469085334696,0.5663274636432741,0.5671641791044776,0.7371601208459214,0.37885331799152944
49,medium,LFT,64.0,0.7850451371146313,0.6537126962015518,0.6226415094339623,0.7583081570996979,0.44545911381161957
50,medium,MIAS,42.0,0.6756940895929143,0.4586034892414075,0.527027027027027,0.5770392749244713,0.23747018562282068
51,medium,NFT,42.0,0.5898484074263328,0.3383305183066503,0.5,0.5468277945619335,0.18210000917411828
52,medium,NRS,42.0,0.3874127065235905,0.2566974454537422,0.3014705882352941,0.4259818731117825,-0.15128354861136004
53,medium,NetBio,42.0,0.678249020609777,0.42099847414791625,0.5116279069767441,0.6193353474320241,0.23235015180368415
54,medium,PD1,42.0,0.545669391926418,0.3540337945392205,0.3852459016393443,0.5468277945619335,0.04122381173715058
55,medium,PDL1,42.0,0.6317066939192642,0.45132163317189494,0.49166666666666664,0.6314199395770392,0.21686617334289687
56,medium,PFT,24.0,0.7976920456481009,0.5958539125608799,0.6413502109704642,0.743202416918429,0.4560131239882971
57,medium,PFT,42.0,0.7754641458013967,0.5716040878993216,0.6118721461187215,0.743202416918429,0.4226675614111161
58,medium,PFT,64.0,0.7781468233691025,0.6312451123436309,0.6168224299065421,0.7522658610271903,0.4348275001611158
59,medium,PGM,42.0,0.7058848577755067,0.5295133236569971,0.5468164794007491,0.6344410876132931,0.2867001691617526
60,medium,TAM,42.0,0.5177141883835803,0.34876908995432,0.38554216867469876,0.5377643504531722,0.033749752922641874
61,medium,TIDE,42.0,0.5943195367058423,0.41728301659972045,0.46473029045643155,0.6102719033232629,0.17281463920892928
62,medium,Teff,42.0,0.6824220746039857,0.4728889929992756,0.5387755102040817,0.6586102719033232,0.28759152745745364
