transfer,Texh,TAM,CTLA4,CAF,FFT,NRS,NetBio,TIDE,CKS,NFT,PD1,GeneBio,IFNG,PDL1,IS,PGM,CD8,IMPRES,CTL,MIAS,GEP,ICA,PFT,CIS,LFT,Teff
Snyder$\mapsto$Liu,0.3881294284100959,0.3817534695124532,0.3955973644152053,0.376490395705613,0.4170356700242557,0.4396679937936887,0.3571149198050284,0.4985125149092787,0.4690762304511529,0.4056154193446784,0.4200753204029864,0.4333590972203962,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.43121203933683,0.4474543782876705,0.5080676380500873,0.4667348029831709,0.4046509267709407,0.3529297975959681,0.4779618287447229,0.4524529722795121,0.4562448858993153,0.4215438434148014,0.4522275698770757
Choueiri$\mapsto$Ravi-1,0.3419210895630156,0.3269371674350586,0.4962943447717439,0.3183123777264228,0.361410935901981,0.4134455887907141,0.3831356607905801,0.3285650318374259,0.3255965393226471,0.3858254692093863,0.5188059462968262,0.454837426914366,0.4961916295675634,0.5277488799890673,0.5273407414643457,0.4483764664819494,0.4569523918969137,0.3328059211232772,0.4738980217597379,0.4819408092550696,0.5444060747088393,0.4518039913072578,0.3375016332563278,0.4680739636345671,0.4351461940834903,0.547054162075877
Kim$\mapsto$Liu,0.3881294284100959,0.4036472297988177,0.4941691516603465,0.376490395705613,0.4194422968017106,0.4396679937936887,0.4118441191117741,0.4985125149092787,0.4690762304511529,0.3796146099735041,0.4200753204029864,0.4413117759266984,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.3936418699048155,0.4474543782876705,0.3773104329754733,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.417580148506904,0.4562448858993153,0.357473949755568,0.4522275698770757
IMmotion150$\mapsto$Allen,0.2713948973855409,0.2947326377111444,0.4557892457913202,0.3034688131682782,0.438527875556037,0.389156353339984,0.3914987598995696,0.1889328417368258,0.4373925779837901,0.4508900802680896,0.3965479856057681,0.4284039111363555,0.4604693901332982,0.3669200769047782,0.3913046882184203,0.4550225257187216,0.4260056683534974,0.5805166098269546,0.501631763214827,0.4086108084018267,0.443357617651673,0.4403066717115185,0.6736442114299424,0.4344258523245071,0.7524568419931321,0.4359394628899478
Choueiri$\mapsto$Kim,0.371504892265229,0.1781832246897572,0.3459863752248608,0.1889879591632586,0.1738583122143486,0.4436600344189059,0.3882899039979546,0.2877939057728535,0.2403088368056889,0.2290504173705986,0.4853138051798854,0.6239602505338978,0.627120666040977,0.550174113185994,0.756882476076555,0.2737308071798031,0.6209649062885536,0.2727170490328385,0.6250148063517863,0.4354309793498847,0.7166611420422397,0.6018607237864719,0.1730452743076509,0.5025217171135594,0.359552076147566,0.7634327604240956
Snyder$\mapsto$Ravi-1,0.3419210895630156,0.3269371674350586,0.348301848308498,0.453151360572129,0.420894348620966,0.4134455887907141,0.3225036290482463,0.3285650318374259,0.5103780212094062,0.427087205398608,0.5188059462968262,0.4074046694360052,0.4961916295675634,0.5277488799890673,0.5273407414643457,0.4081139983845996,0.4569523918969137,0.4517043261792984,0.4738980217597379,0.3349839672553789,0.3200346453230865,0.4518039913072578,0.4601408591999688,0.4680739636345671,0.5023734096215013,0.547054162075877
Ravi-2$\mapsto$Freeman,0.5194691358392269,0.5430642230968655,0.3769512707137388,0.4758650503703081,0.4537919393908897,0.5363888997349116,0.2519017114600175,0.4080948684293335,0.5285990078272454,0.3428803166235093,0.4418538289821858,0.4204350346083615,0.5064588090128904,0.4012911710006098,0.4698625493905318,0.3688305421495485,0.4831907590491349,0.4053733123130406,0.4944349147711413,0.2735309489655714,0.3003536376769119,0.4930111550582424,0.3366232916667082,0.5683038619232504,0.3764541114080462,0.4821166432947616
IMVigor210$\mapsto$Liu,0.3715943266695306,0.4036472297988177,0.4941691516603465,0.376490395705613,0.3897846215054189,0.3859693440178461,0.4567071222905959,0.3541813991304577,0.4690762304511529,0.398533450414994,0.4200753204029864,0.4450341997421329,0.4427280312393221,0.4013114235740612,0.4437337991245043,0.3865619348522626,0.4474543782876705,0.5080676380500873,0.4667348029831709,0.4670215693034515,0.4445619064572298,0.4779618287447229,0.4197516722247847,0.4562448858993153,0.4807886292193375,0.4522275698770757
Liu$\mapsto$Allen,0.3809956593714955,0.2947326377111444,0.4557892457913202,0.3457125828268595,0.3330210815067809,0.389156353339984,0.6604834119837435,0.1889328417368258,0.4373925779837901,0.5373884062158056,0.3965479856057681,0.4134443858688085,0.4604693901332982,0.3669200769047782,0.3913046882184203,0.6132034253354806,0.4260056683534974,0.5805166098269546,0.501631763214827,0.4086108084018267,0.443357617651673,0.4403066717115185,0.491064454130257,0.4344258523245071,0.4561854225881375,0.4359394628899478
IMVigor210$\mapsto$Allen,0.2713948973855409,0.2947326377111444,0.4557892457913202,0.3034688131682782,0.2877036846871413,0.2636268527678204,0.4160407089800993,0.9999999999999998,0.4373925779837901,0.51644019282194,0.3965479856057681,0.4284039111363555,0.4604693901332982,0.3669200769047782,0.3913046882184203,0.2576278920167859,0.4260056683534974,0.5805166098269546,0.501631763214827,0.4086108084018267,0.443357617651673,0.4403066717115185,0.5975956335897754,0.4344258523245071,0.4700851594412561,0.4359394628899478
